STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
---,---,---,---,---,---
1,7220201,Ngôn ngữ Anh,D01;D96,58,
2,7310101,Kinh tế,A00;A01;D01;D07,65,
3,7310104,Kinh tế đầu tư,A00;A01;D01;D07,58,
4,7310107,Thống kê kinh tế,A00;A01;D01;D07,54,
5,7310108,Toán kinh tế,A00;A01;D01;D07,47,
6,7320106,Công nghệ truyền thông,A00;A01;D01;V00,71,
7,7340101,Quản trị kinh doanh,A00;A01;D01;D07,58,
8,7340101_ISB,"Cử nhân tài năng (Gồm các ngành Quản trị kinh doanh, Kinh doanh quốc tế, Marketing, Tài chính - Ngân hàng, Kế toán)",A00;A01;D01;D07,72,
9,7340115,Marketing,A00;A01;D01;D07,72,
10,7340116,Bất động sản,A00;A01;D01;D07,53,
11,7340120,Kinh doanh quốc tế,A00;A01;D01;D07,73,
12,7340121,Kinh doanh thương mại,A00;A01;D01;D07,66,
13,7340122,Thương mại điện tử,A00;A01;D01;D07,68,
14,7340129_td,Quản trị bệnh viện,A00;A01;D01;D07,47,
15,7340201,Tài chính - Ngân hàng,A00;A01;D01;D07,58,
16,7340204,Bảo hiểm,A00;A01;D01;D07,47,
17,7340206,Tài chính quốc tế,A00;A01;D01;D07,69,
18,7340301,Kế toán,A00;A01;D01;D07,54,
19,7340301_01,Chương trình kế toán tích hợp chứng chỉ quốc tế ICAEW CFAB plus,A00;A01;D01;D07,58,
20,7340302,Kiểm toán,A00;A01;D01;D07,58,
21,7340403,Quản lý công,A00;A01;D01;D07,47,
22,7340404,Quản trị nhân lực,A00;A01;D01;D07,62,
23,7340405,Hệ thống thông tin quản lý,A00;A01;D01;D07,54,
24,7380101,Luật,A00;A01;D01;D96,58,
25,7380107,Luật kinh tế,A00;A01;D01;D96,54,
26,7460108,Khoa học dữ liệu,A00;A01;D01;D07,67,
27,7480103,Kỹ thuật phần mềm,A00;A01;D01;D07,62,
28,7489001,Công nghệ và đổi mới sáng tạo,A00;A01;D01;D07,46,
29,7510605,Logistics và quản lý chuỗi cung ứng,A00;A01;D01;D07,81,
30,7580104,Kiến trúc đô thị,A00;A01;D01;V00,48,
31,7620114,Kinh doanh nông nghiệp,A00;A01;D01;D07,49,
32,7810103,Quản trị dịch vụ du lịch và lữ hành,A00;A01;D01;D07,51,
33,7810201,Quản trị khách sạn,A00;A01;D01;D07,52,
