STT,Mã ngành,Ngành/Chương trình,Điểm PT đánh giá năng lực
---,--------,-----------------------------------------,-------------------------
1,7310101,Ngành Kinh tế,940
2,7310104,Ngành Kinh tế đầu tư,900
3,7340116,Ngành Bất động sản,880
4,7340404,Ngành Quản trị nhân lực,950
5,7620114,Ngành Kinh doanh nông nghiệp,750
6,7340101,Ngành Quản trị kinh doanh,925
7,7340120,Ngành Kinh doanh quốc tế,980
8,7510605,Ngành Logistics và Quản lý chuỗi cung ứng,1000
9,7340121,Ngành Kinh doanh thương mại,950
10,7340115,Ngành Marketing,970
11,7340201,Ngành Tài chính - Ngân hàng,895
12,7340204,Ngành Bảo hiểm,830
13,7340206,Ngành Tài chính quốc tế,950
14,7340301,Ngành Kế toán,870
15,7340302,Ngành Kiểm toán,940
16,7810103,Ngành Quản trị dịch vụ du lịch và lữ hành,870
17,7810201,Ngành Quản trị khách sạn,885
18,7310108,Ngành Toán kinh tế,870
19,7310107,Ngành Thống kê kinh tế,910
20,7340405,Ngành Hệ thống thông tin quản lý,910
