STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
---,----------,-----------------------------------------------------------,----------,----------,-------
1,7220201,Tiếng Anh thương mại,,845,
2,7310101,Kinh tế,,910,
3,7310102,Kinh tế chính trị,,800,
4,7310104_01,Kinh tế đầu tư,,850,
5,7310104_02,Thẩm định giá và quản trị tài sản,,800,
6,7310107,Thống kê kinh doanh,,860,
7,7310108_01,Toán tài chính,,840,
8,7310108_02,Phân tích rủi ro và định phí bảo hiểm,,800,
9,7320106,Truyền thông số và Thiết kế đa phương tiện,,920,
10,7340101_01,Quản trị,,830,
11,7340101_02,Quản trị khởi nghiệp,,800,
12,7340114_td,Công nghệ marketing,,920,
13,7340115,Marketing,,930,
14,7340116,Bất động sản,,800,
15,7340120,Kinh doanh quốc tế,,930,
16,7340121,Kinh doanh thương mại,,905,
17,7340122,Thương mại điện tử,,940,
18,7340129_td,Quản trị bệnh viện,,800,
19,7340201_01,Tài chính công,,800,
20,7340201_02,Thuế,,800,
21,7340201_03,Ngân hàng,,850,
22,7340201_04,Thị trường chứng khoán,,800,
23,7340201_05,Tài chính,,865,
24,7340201_06,Đầu tư tài chính,,845,
25,7340204,Bảo hiểm,,800,
26,7340205,Công nghệ tài chính,,935,
27,7340206,Tài chính quốc tế,,915,
28,7340301_01,Chương trình Kế toán tích hợp chứng chỉ nghề nghiệp quốc tế,,800,
29,7340301_02,Kế toán công,,840,
30,7340301_03,Kế toán doanh ngiệp,,835,
31,7340302,Kiểm toán,,920,
32,7340403,Quản lý công,,800,
33,7340404,Quản trị nhân lực,,865,
34,7340405_01,Hệ thống thông tin kinh doanh,,905,
35,7340405_02,Hệ thống hoạch định nguồn lực doanh nghiệp,,800,
36,7340415_td,Kinh doanh số,,890,
37,7380101,Luật kinh doanh quốc tế,,900,
38,7380107,Luật kinh tế,,870,
39,7460108,Khoa học dữ liệu,,935,
40,7480103,Kỹ thuật phần mềm,,875,
41,7480107,Robot và Trí tuệ nhân tạo (hệ kỹ sư),,890,
42,7489001,Công nghệ và đổi mới sáng tạo,,875,
43,7510605_01,Logistics và quản lý chuỗi cung ứng,,985,
44,7510605_02,Công nghệ Logistics (hệ kỹ sư),,930,
45,7580104,Kiến trúc và thiết kế đô thị thông minh,,810,
46,7620114,Kinh doanh nông nghiệp,,805,
47,7810103,Quản trị dịch vụ du lịch và lữ hành,,800,
48,7810201_01,Quản trị khách sạn,,835,
49,7810201_02,Quản trị sự kiện và dịch vụ giải trí,,845,
,,,,,
