STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
---,----------,-----------------------------------------------------------,---------------,----------,-------
1,7220201,Tiếng Anh thương mại,D01;D96,26.3,
2,7310101,Kinh tế,A00;A01;D01;D07,26.1,
3,7310102,Kinh tế chính trị,A00;A01;D01;D07,22.5,
4,7310104_01,Kinh tế đầu tư,A00;A01;D01;D07,25.94,
5,7310104_02,Thẩm định giá và quản trị tài sản,A00;A01;D01;D07,23,
6,7310107,Thống kê kinh doanh,A00;A01;D01;D07,25.56,
7,7310108_01,Toán tài chính,A00;A01;D01;D07,25.32,
8,7310108_02,Phân tích rủi ro và định phí bảo hiểm,A00;A01;D01;D07,24.06,
9,7320106,Truyền thông số và Thiết kế đa phương tiện,A00;A01;D01;V00,26.33,
10,7340101_01,Quản trị,A00;A01;D01;D07,25.4,
11,7340101_02,Quản trị khởi nghiệp,A00;A01;D01;D07,24.54,
12,7340114_td,Công nghệ marketing,A00;A01;D01;D07,27.2,
13,7340115,Marketing,A00;A01;D01;D07,27,
14,7340116,Bất động sản,A00;A01;D01;D07,23.8,
15,7340120,Kinh doanh quốc tế,A00;A01;D01;D07,26.6,
16,7340121,Kinh doanh thương mại,A00;A01;D01;D07,26.5,
17,7340122,Thương mại điện tử,A00;A01;D01;D07,26.61,
18,7340129_td,Quản trị bệnh viện,A00;A01;D01;D07,23.7,
19,7340201_01,Tài chính công,A00;A01;D01;D07,24,
20,7340201_02,Thuế,A00;A01;D01;D07,23,
21,7340201_03,Ngân hàng,A00;A01;D01;D07,25.3,
22,7340201_04,Thị trường chứng khoán,A00;A01;D01;D07,23.55,
23,7340201_05,Tài chính,A00;A01;D01;D07,25.7,
24,7340201_06,Đầu tư tài chính,A00;A01;D01;D07,25.7,
25,7340204,Bảo hiểm,A00;A01;D01;D07,24,
26,7340205,Công nghệ tài chính,A00;A01;D01;D07,26.6,
27,7340206,Tài chính quốc tế,A00;A01;D01;D07,26.6,
28,7340301_01,Chương trình Kế toán tích hợp chứng chỉ nghề nghiệp quốc tế,A00;A01;D01;D07,24.9,
29,7340301_02,Kế toán công,A00;A01;D01;D07,25.31,
30,7340301_03,Kế toán doanh nghiệp,A00;A01;D01;D07,25,
31,7340302,Kiểm toán,A00;A01;D01;D07,26.3,
32,7340403,Quản lý công,A00;A01;D01;D07,25.05,
33,7340404,Quản trị nhân lực,A00;A01;D01;D07,26.2,
34,7340405_01,Hệ thống thông tin kinh doanh,A00;A01;D01;D07,26.12,
35,7340405_02,Hệ thống hoạch định nguồn lực doanh nghiệp,A00;A01;D01;D07,24.85,
36,7340415_td,Kinh doanh số,A00;A01;D01;D07,26.5,
37,7380101,Luật kinh doanh quốc tế,A00;A01;D01;D96,25.41,
38,7380107,Luật kinh tế,A00;A01;D01;D96,25.6,
39,7460108,Khoa học dữ liệu,A00;A01;D01;D07,26.3,
40,7480101,Khoa học máy tính,A00;A01;D01;D07,23.4,
41,7480103,Kỹ thuật phần mềm,A00;A01;D01;D07,25.8,
42,7480107,Robot và Trí tuệ nhân tạo,A00;A01;D01;D07,23,
43,7480201,Công nghệ thông tin,A00;A01;D01;D07,24.2,
44,7480202,An toàn thông tin,A00;A01;D01;D07,22.49,
45,7489001,Công nghệ và đổi mới sáng tạo,A00;A01;D01;D07,25.2,
46,7510605_01,Logistics và quản lý chuỗi cung ứng,A00;A01;D01;D07,27,
47,7510605_02,Công nghệ Logistics,A00;A01;D01;D07,26.09,
48,7580104,Kiến trúc và thiết kế đô thị thông minh,A00;A01;D01;V00,24.63,
49,7620114,Kinh doanh nông nghiệp,A00;A01;D01;D07,25.03,
50,7810103,Quản trị dịch vụ du lịch và lữ hành,A00;A01;D01;D07,24.6,
51,7810201_01,Quản trị khách sạn,A00;A01;D01;D07,25.2,
52,7810201_02,Quản trị sự kiện và dịch vụ giải trí,A00;A01;D01;D07,25.51,
53,ASA_Co-op,Cử nhân ASEAN Co-op,A00;A01;D01;D07,24.05,
54,ISB_CNTN,Cử nhân Tài năng ISB BBus,A00;A01;D01;D07,27.1,
